grid_id,agri_area_in_sqkm,agri_proportion
24_B,5.853722,0.162603389
161_C,4.456622,0.123795056
251_A,7.886357,0.219065472
252_D,6.912928,0.192025778
252_B,0.714947,0.019859639
24_A,12.104748,0.336243
36_B,7.778874,0.216079833
34_B,10.180671,0.282796417
33_A,15.722677,0.436741028
35_B,10.842385,0.301177361
34_A,17.565192,0.487922
72_A,3.066686,0.085185722
59_D,13.314478,0.369846611
59_C,13.676593,0.379905361
35_D,16.054756,0.445965444
36_D,6.079315,0.168869861
34_C,11.106732,0.308520333
34_D,15.185781,0.42182725
48_D,21.851416,0.606983778
47_C,25.586318,0.710731056
48_C,9.794933,0.272081472
47_D,9.121594,0.253377611
46_C,8.711093,0.241974806
48_B,7.393079,0.205363306
46_A,8.753493,0.243152583
47_A,25.25485,0.701523611
47_B,13.299393,0.369427583
59_B,28.446264,0.790174
59_A,28.041545,0.778931806
24_D,23.033208,0.639811333
331_C,16.560672,0.460018667
251_D,8.810349,0.244731917
24_C,16.630415,0.461955972
