ec5_branch_owner_uuid,ec5_branch_uuid,created_at,uploaded_at,created_by,title,43_Species,44_Height_in_m,45_Diameter_in_m,46_Canopy_start_heig,47_Number,49_GBH,50_Other_species_nam,51_Photo
207b24a2-c855-48e4-967e-8d9f91a3321e,65fac092-24ae-4023-be0a-420b37436632,2024-03-26T13:32:35.000Z,2024-03-26T14:29:54.000Z,kajalsinghhh.07@gmail.com,Ker / Capparis decidua 2.1 1.6,Ker / Capparis decidua,2.1,1.6,0.5,8,,,
6c7e8ab8-f013-4a9e-99ea-dfdbecb13ca8,d1258a63-eaf3-4089-8f2e-871dbd883e9e,2024-03-26T13:20:43.000Z,2024-03-26T14:29:28.000Z,kajalsinghhh.07@gmail.com,Ker / Capparis decidua 2 1.5,Ker / Capparis decidua,2,1.5,0.2,7,,,
f8850eee-e597-4755-9d83-596e88520d23,80a19c6f-5f66-4bf6-a3d6-20b682784b94,2024-03-26T13:07:58.000Z,2024-03-26T14:29:01.000Z,kajalsinghhh.07@gmail.com,Ker / Capparis decidua 2.3 1.5,Ker / Capparis decidua,2.3,1.5,0.5,4,,,
7dc4aacf-ac5a-4d56-aeec-1b4afe79bf0b,e8f5d1c7-84ee-4145-8197-62df52b7ce71,2024-03-26T12:58:17.000Z,2024-03-27T05:24:46.000Z,mihir.au.jadhav@gmail.com,Ker / Capparis decidua 2 1.6,Ker / Capparis decidua,2,1.6,1,1,,,
800033bd-10c7-4f88-a523-2fefe6a55ed3,9a6e1dd7-2ab4-4b56-a700-a59e7dc19336,2024-03-26T12:36:36.000Z,2024-03-26T14:28:28.000Z,kajalsinghhh.07@gmail.com,Ker / Capparis decidua 2.1 1.5,Ker / Capparis decidua,2.1,1.5,0.8,3,,,
385e3677-b1f5-40b7-8872-50bc68bdb667,53d1bd81-e500-4abb-b11c-a24bcd7b2a88,2024-03-26T12:34:26.000Z,2024-03-27T05:24:26.000Z,mihir.au.jadhav@gmail.com,Ker / Capparis decidua 3.2 2,Ker / Capparis decidua,3.2,2,1.7,4,,,
ffd75faf-dc86-4cc8-bbcd-604b16f43d41,644a1534-e469-4052-bafb-ffaf5e73b90f,2024-03-26T12:21:50.000Z,2024-03-26T14:27:57.000Z,kajalsinghhh.07@gmail.com,Kheemp / Leptadenia pyrotechnica 2.1 1.5,Kheemp / Leptadenia pyrotechnica,2.1,1.5,0.2,10,,,
fb6b5006-c3dc-47b3-b718-76dbea8cbd38,a50f4230-c9d9-4474-8aa7-0c75101e236f,2024-03-26T12:18:16.000Z,2024-03-27T05:23:56.000Z,mihir.au.jadhav@gmail.com,Ker / Capparis decidua 3 1.5,Ker / Capparis decidua,3,1.5,1.2,4,,,
a6a0d40b-bf1b-4a4d-a48b-b990108a925b,19dbacc4-4fe7-4bf4-9080-726b2ac43389,2024-03-26T12:06:51.000Z,2024-03-26T14:27:26.000Z,kajalsinghhh.07@gmail.com,Ber / Ziziphus nummularia 2 0.8,Ber / Ziziphus nummularia,2,0.8,0.1,1,,,
a6a0d40b-bf1b-4a4d-a48b-b990108a925b,37ddd703-2eba-4729-8429-8c07241116f3,2024-03-26T12:06:26.000Z,2024-03-26T14:27:24.000Z,kajalsinghhh.07@gmail.com,Ker / Capparis decidua 2.1 1.5,Ker / Capparis decidua,2.1,1.5,0.2,5,,,
2c8d79c4-b87e-4ecc-bc99-280b6b46f82c,359d924d-ceb8-4d4b-97d5-ef4ad010b1ad,2024-03-26T11:57:23.000Z,2024-03-27T05:23:22.000Z,mihir.au.jadhav@gmail.com,Ber / Ziziphus nummularia 2 1.5,Ber / Ziziphus nummularia,2,1.5,1,1,,,
2c8d79c4-b87e-4ecc-bc99-280b6b46f82c,e81b8167-be02-4033-b42c-5f92e2496953,2024-03-26T11:57:04.000Z,2024-03-27T05:23:20.000Z,mihir.au.jadhav@gmail.com,Ker / Capparis decidua 3 2,Ker / Capparis decidua,3,2,1.5,8,,,
d5bcce99-a1db-4060-bc6b-2aff111b479c,d262b48e-4ed0-4208-a8df-2cdb266a7f6e,2024-03-26T11:50:59.000Z,2024-03-26T14:26:57.000Z,kajalsinghhh.07@gmail.com,Kheemp / Leptadenia pyrotechnica 2 0.5,Kheemp / Leptadenia pyrotechnica,2,0.5,0.1,9,,,
704a1a2d-d75d-44d4-8b6d-f80fab76b805,e66c2fe8-5237-4836-8f03-2ebd3d4d9354,2024-03-26T06:13:49.000Z,2024-03-26T14:26:34.000Z,kajalsinghhh.07@gmail.com,Ker / Capparis decidua 2 1,Ker / Capparis decidua,2,1,0.1,3,,,
